database,table_name,partition,part_name,rows,bytes_on_disk,size_mb,modification_time
dananhu,points_data,202411,202411_1389_1511_3,2654706,12732806,12.14,2025-04-01 06:58:20
dananhu,points_data,202411,202411_1_1380_4,63027514,321438929,306.55,2025-04-05 17:04:04
dananhu,points_data,202412,202412_3_1518_4,91065600,467895498,446.22,2025-04-06 00:24:32
dananhu,points_data,202501,202501_1448_1517_2,4210752,18769085,17.9,2025-04-02 04:19:30
dananhu,points_data,202501,202501_4_1443_4,86854848,446278371,425.6,2025-04-09 18:59:52
dananhu,points_data,202502,202502_1182_1516_3,13469212,62463182,59.57,2025-03-29 13:54:21
dananhu,points_data,202502,202502_2_1175_4,68783588,357871135,341.29,2025-04-08 19:53:53
dananhu,points_data,202503,202503_1484_1515_2,1212150,6020225,5.74,2025-03-29 08:04:04
dananhu,points_data,202503,202503_588_1479_4,18495984,94628685,90.24,2025-04-01 16:48:52
dananhu,points_data,202505,202505_1519_1771_3,53165045,259184491,247.18,2025-07-07 15:37:31
dananhu,points_data,202505,202505_1773_1983_3,33218850,162252197,154.74,2025-07-12 00:17:35
dananhu,points_data,202505,202505_1985_1985_0,298098,1410758,1.35,2025-07-07 15:38:14
dananhu,points_data,202506,202506_1520_1809_3,93519872,446059967,425.4,2025-07-07 15:37:53
dananhu,points_data,202506,202506_1811_1974_3,61222484,290515235,277.06,2025-07-17 19:25:47
dananhu,points_data,202506,202506_1976_1984_1,2843836,13660985,13.03,2025-07-08 18:23:20
dananhu,points_data_old,202411,202411_1_6_1_13,6307840,32584949,31.08,2025-05-17 11:20:15
dananhu,points_data_old,202411,202411_7_11_1_13,4934158,24626340,23.49,2025-05-17 11:20:15
dananhu,points_data_old,202505,202505_12_12_0_13,131342,524106,0.5,2025-05-17 11:20:15
default,points_data,202505,202505_18254_18254_0,4,516,0.0,2025-05-09 18:48:53
default,points_data,202505,202505_3348_18253_2972,44811,24826,0.02,2025-05-09 18:48:53
default,points_data,202506,202506_18255_18276_5,22,500,0.0,2025-06-20 09:44:59
ezhou,points_data,20250715,20250715_2_728_10,131678208,28213445,26.91,2025-07-21 14:34:07
ezhou,points_data,20250715,20250715_3032_3849_8,141180928,23251809,22.17,2025-07-21 14:50:51
ezhou,points_data,20250715,20250715_3851_4310_7,82633030,16140255,15.39,2025-07-21 14:51:38
ezhou,points_data,20250715,20250715_4311_4405_4,18370961,3896958,3.72,2025-07-21 14:51:35
ezhou,points_data,20250715,20250715_4408_4414_1,196608,18869,0.02,2025-07-21 15:16:37
ezhou,points_data,20250715,20250715_729_3030_10,416134352,88357840,84.26,2025-07-21 14:50:48
ezhou,points_data,20250716,20250716_1_2065_7,718569472,217866006,207.77,2025-07-21 14:48:49
ezhou,points_data,20250716,20250716_2067_4403_6,820654439,253271155,241.54,2025-07-26 14:26:15
ezhou,points_data,20250716,20250716_4406_4415_1,6030181,1308512,1.25,2025-07-21 14:51:32
ezhou,points_data,20250716,20250716_4416_4421_1,5496832,1403697,1.34,2025-07-21 14:51:33
heat_economy,points_data,202411,202411_1413629_1413833_51,92045,292792,0.28,2024-11-30 23:59:59
heat_economy,points_data,202411,202411_1_1413628_1638,638491780,2526311698,2409.28,2024-12-29 11:45:54
heat_economy,points_data,202412,202412_1413834_1911561_1516,223461215,886011953,844.97,2024-12-06 20:08:02
heat_economy,points_data,202412,202412_1911562_2376427_1538,208708868,824426622,786.23,2024-12-17 04:39:15
heat_economy,points_data,202412,202412_2376428_2389657_1099,5937579,22863183,21.8,2024-12-17 14:39:10
heat_economy,points_data,202502,202502_2389658_3642614_1706,562540622,2229987226,2126.68,2025-03-25 03:08:25
heat_economy,points_data,202502,202502_3642615_3645170_1187,1147644,3489707,3.33,2025-03-03 12:38:25
heat_economy,points_data,202502,202502_3645171_3645171_0,449,7966,0.01,2025-02-28 23:59:59
heat_economy,points_data,202503,202503_3645172_5860222_1695,996487374,3956759061,3773.46,2025-03-28 09:02:12
