database,table_name,sample_row,point_code,point_value,date_time,point_type,param_code,dataset_id,data_type,create_date,fault_name,fault_condition,fault_name_code,fault_tree_id,minimum_cutset
dananhu,points_data,1,ADBZS,1040,2024-11-08 15:06:43,AX,_IEP_ADBZS_2,,,,,,,,
dananhu,points_data,2,ADBZS,1040,2024-11-08 15:06:44,AX,_IEP_ADBZS_2,,,,,,,,
dananhu,points_data,3,ADBZS,1040,2024-11-08 15:06:45,AX,_IEP_ADBZS_2,,,,,,,,
dananhu,points_data_old,1,ADBZS,1040,2024-11-08 15:06:43,AX,_IEP_ADBZS_2,,,,,,,,
dananhu,points_data_old,2,ADBZS,1040,2024-11-08 15:06:44,AX,_IEP_ADBZS_2,,,,,,,,
dananhu,points_data_old,3,ADBZS,1040,2024-11-08 15:06:45,AX,_IEP_ADBZS_2,,,,,,,,
default,points_data,1,_IEP_GRQ_1,7,2025-05-09 17:21:45,3,N,,,,,,,,
default,points_data,2,_IEP_GRQ_1,7,2025-05-09 17:21:46,3,N,,,,,,,,
default,points_data,3,_IEP_GRQ_1,7,2025-05-09 17:21:47,3,N,,,,,,,,
ezhou,points_data,1,-BMS20BMSFPL2,0,2025-07-15 16:24:53,1,,,,,,,,,
ezhou,points_data,2,-BMS20BMSFPL2,0,2025-07-15 16:24:54,1,,,,,,,,,
ezhou,points_data,3,-BMS20BMSFPL2,0,2025-07-15 16:24:55,1,,,,,,,,,
heat_economy,points_data,1,11JZCSWD1,38.6200714111328,2024-11-14 15:14:52,AX,_IEP_NBRKSWRJ_1,,,,,,,,
heat_economy,points_data,2,11JZCSWD1,38.6200714111328,2024-11-14 15:14:53,AX,_IEP_NBRKSWRJ_1,,,,,,,,
heat_economy,points_data,3,11JZCSWD1,38.6200714111328,2024-11-14 15:14:54,AX,_IEP_NBRKSWRJ_1,,,,,,,,
kashi,points_data,1,GV1PZ,251.0,2024-07-18 18:45:24,AX,_IEP_GTMGV1FK_6,,,,,,,,
kashi,points_data,2,GV1PZ,251.0,2024-07-18 18:45:25,AX,_IEP_GTMGV1FK_6,,,,,,,,
