database,table_name,engine,total_rows,total_bytes,size_mb,create_query
dananhu,points_data,ReplacingMergeTree,594042539,2961181549,2824.0,"CREATE TABLE dananhu.points_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
dananhu,points_data_old,ReplacingMergeTree,11373340,57735395,55.06,"CREATE TABLE dananhu.points_data_old (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
default,points_data,MergeTree,44837,25842,0.02,"CREATE TABLE default.points_data (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4), `point_type` Int8, `param_code` String CODEC(ZSTD(1))) ENGINE = MergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time, param_code) ORDER BY (point_code, date_time, param_code) SETTINGS index_granularity = 8192"
ezhou,points_data,ReplacingMergeTree,2340945011,633728546,604.37,"CREATE TABLE ezhou.points_data (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4), `point_type` Int8, `param_code` String CODEC(ZSTD(1))) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time, param_code) ORDER BY (point_code, date_time, param_code) SETTINGS index_granularity = 8192"
heat_economy,points_data,ReplacingMergeTree,3399707657,13482992760,12858.38,"CREATE TABLE heat_economy.points_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time, param_code) ORDER BY (point_code, date_time, param_code) SETTINGS index_granularity = 8192"
kashi,points_data,ReplacingMergeTree,4347291,18991081,18.11,"CREATE TABLE kashi.points_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
matou,points_data,MergeTree,1446363099,598260453,570.55,"CREATE TABLE matou.points_data (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4), `point_type` Int8) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250410,MergeTree,3076,27102,0.03,"CREATE TABLE split_test.points_data_ax_20250410 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250411,MergeTree,3076,27101,0.03,"CREATE TABLE split_test.points_data_ax_20250411 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250414,MergeTree,70,1305,0.0,"CREATE TABLE split_test.points_data_ax_20250414 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250415,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_ax_20250415 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250425,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_ax_20250425 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250426,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_ax_20250426 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250509,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_ax_20250509 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_ax_20250510,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_ax_20250510 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
